"S.
No.",State/UT,Total Doses
,,
,,
1,A & N Islands,991263
2,Andhra Pradesh,110955999
3,Arunachal Pradesh,1924516
4,Assam,50325140
5,Bihar,157254683
6,Chandigarh,2286046
7,Chhattisgarh,49167348
8,Dadra & Nagar Haveli,899628
9,Daman & Diu,679988
10,Delhi,37398620
11,Goa,2874241
12,Gujarat,128074248
13,Haryana,45505958
14,Himachal Pradesh,15321214
15,Jammu & Kashmir,24781742
16,Jharkhand,43849561
17,Karnataka,122142115
18,Kerala,57499168
19,Ladakh,567114
20,Lakshadweep,145150
21,Madhya Pradesh,133936962
22,Maharashtra,177924353
23,Manipur,3268706
24,Meghalaya,2625298
25,Mizoram,1793298
26,Nagaland,1739426
27,Odisha,81544680
28,Puducherry,2274059
29,Punjab,47039720
30,Rajasthan,115681188
31,Sikkim,1360447
32,Tamil Nadu,127512375
33,Telangana,77548669
34,Tripura,5918996
35,Uttar Pradesh,392000541
36,Uttarakhand,20130322
37,West Bengal,156080902
38,Miscellaneous,5295713
